"Asset Datalist Report","31 Jan 2025 11:52AM GMT-0300","479"
"Delfia","Alameda Tocantins, 350","Barueri","None","06455-020","Brazil"
"Evandro Santiago","defa6es","All Roles Customers,All Roles Customers"
"Asset Id","Asset Name","Host Id","Netbios Name","Mac Address","IPV4 Addresses","IPV6 Addresses","Operating System Category","OS","Operating System Version","Operating System Lifecycle Stage","Hardware Category","Hardware Name","Hardware Lifecycle Stage","CPU Count","CPU Speed (mhz)","CPU Description","Total Memory (mb)","Bios Description","Bios Serial Number","Bios Asset Tag","Time Zone","Last System Boot","Last Logged-In User","Inventory Source","Agent Id","Inventory Last Updated On","Architecture","Modules","Sources","Criticality Score","TruRisk Score","Hardware Uuid","Activity","Tags"
"85888236","SPRDZBGRU03","21733190","'-","00:50:56:92:97:71,00:50:56:92:97:71","172.16.253.70","fe80:0:0:0:250:56ff:fe92:9771","Linux / Unidentified","Canonical Ubuntu Noble Numbat 24.04 LTS 24.04.1 LTS","24.04 LTS","GA","Virtualized / Virtual Machine","VMware VMware Virtual Platform VMware Virtual Platform","Unknown","10","2600","Intel(R) Xeon(R) Gold 6348 CPU @ 2.60GHz","34017","VMware, Inc. VMW201.00V.20829224.B64.2211211842 11/21/2022","VMware-42 12 a2 9f 50 59 37 c0-47 f9 0d 08 bd 0e f1 f9","No Asset Tag","'-03:00","Aug 9, 2024","root","QAGENT","4707d078-f2d3-4855-96cd-2db94e8ffc2f","Jan 31, 2025","x86_64","VM,SCA,PM","Cloud Agent","4","475","9fa21242-5950-c037-47f9-0d08bd0ef1f9","Jan 31, 2025","Cloud Agent,GRU_ACN_4-Perigoso,GRU-GERAL,GRU_CAT_ACN-INFRACRITICA"
"21366253","SPRDAPRMAGRU04.GRU.LOCAL","7550466","'-","00:50:56:92:ec:09,00:50:56:92:ec:09","192.168.0.36","fe80:0:0:0:250:56ff:fe92:ec09","Linux / Unidentified","Canonical Ubuntu Focal Fossa 20.04 LTS 20.04.1 LTS","20.04 LTS","GA","Virtualized / Virtual Machine","VMware VMware Virtual Platform VMware Virtual Platform","Unknown","2","2600","Intel(R) Xeon(R) Gold 6348 CPU @ 2.60GHz","3888","Phoenix Technologies LTD 6.00 11/12/2020","VMware-42 12 b7 1c b1 6d 7f e9-03 7b 03 22 1c 68 18 d1","No Asset Tag","'-03:00","Jul 2, 2024","root","QAGENT","b6661280-51e6-48fb-9998-34e9cf460fa9","Jan 31, 2025","x86_64","VM,SCA,PM","Cloud Agent","3","366","1cb71242-6db1-e97f-037b-03221c6818d1","Jan 31, 2025","Cloud Agent,GRU_ACN_3-Maior,GRU-GERAL,GRU_CAT_ACN-AMS"
"95867240","sprdapecgru02","24677781","'-","54:9f:35:73:0b:88,54:9f:35:73:0b:88","172.31.49.153","fe80:0:0:0:569f:35ff:fe73:b88","Linux / Server","Red Hat Enterprise Linux Server 6 6.6","6.6","EOL/EOS","Computers / Server","Dell PowerEdge M620","EOS","24","2100","Intel(R) Xeon(R) CPU E5-2620 v2 @ 2.10GHz","32062","Dell Inc. 2.4.3 07/02/2014","FM22012","'-","'-03:00","Jan 22, 2025","root","QAGENT","d46e9433-918b-4166-8027-117c777b2d9d","Jan 31, 2025","x86_64","VM,SCA,PM","Cloud Agent","5","880","44454c4c-4d00-1032-8032-c6c04f303132","Jan 31, 2025","Cloud Agent,GRU_ACN_5-Catastrofico,GRU-GERAL,GRU_CAT_ACN-SAP"
"56154521","SHOMWBCMSGRU01","13487063","'-","00:50:56:b6:da:65,52:54:00:00:5c:5b,00:50:56:b6:da:65","172.31.52.32,192.168.122.1","fe80:0:0:0:250:56ff:feb6:da65","Linux / Server","Red Hat Enterprise Linux 8 8.10","8.10","GA","Virtualized / Virtual Machine","VMware VMware Virtual Platform VMware Virtual Platform","Unknown","4","2400","Intel(R) Xeon(R) CPU E5-4640 0 @ 2.40GHz","17745","Phoenix Technologies LTD 6.00 12/12/2018","VMware-42 36 44 d9 d8 f4 73 25-da 4f 54 90 4c 38 e6 e9","No Asset Tag","'-03:00","Oct 3, 2024","root","QAGENT","b66f361f-2c13-4eaa-b093-75e09e3a4cb7","Jan 31, 2025","x86_64","VM,SCA,PM","Cloud Agent","1","169","d9443642-f4d8-2573-da4f-54904c38e6e9","Jan 31, 2025","Cloud Agent,GRU-GERAL,GRU-CAT-Servidores"
"24112996","sprdapcmsgru02","7852074","'-","b8:ca:3a:33:8e:c2","172.31.49.87","","Linux / Server","Red Hat Enterprise Linux Server 6 6.10","6.10","EOL/EOS","Computers / Server","Dell PowerEdge M820","EOS","32","2400","Intel(R) Xeon(R) CPU E5-4640 0 @ 2.40GHz","129006","Dell Inc. 2.3.3 01/27/2016","8LPNKZ1","'-","'-03:00","Aug 11, 2023","root","QAGENT","67b92f6a-e0b4-4212-b284-8fc3eac50bb9","Jan 31, 2025","x86_64","VM,SCA,PM","Cloud Agent","1","173","44454c4c-4c00-1050-804e-b8c04f4b5a31","Jan 31, 2025","Cloud Agent,GRU-GERAL,GRU-CAT-Servidores"
"24268668","SDESAPNWGRU01","7880078","'-","00:50:56:9d:65:56,00:50:56:9d:65:56","172.31.52.122","fe80:0:0:0:250:56ff:fe9d:6556","Linux / Server","Red Hat Enterprise Linux Server 6 6.5","6.5","EOL/EOS","Virtualized / Virtual Machine","VMware VMware Virtual Platform VMware Virtual Platform","Unknown","4","2400","Intel(R) Xeon(R) CPU E5-4640 0 @ 2.40GHz","32097","Phoenix Technologies LTD 6.00 12/12/2018","VMware-42 1d 68 2c 2b 6e 05 ce-13 5c 41 ac 6a 94 ca de","No Asset Tag","'-03:00","Aug 29, 2024","root","QAGENT","e93b2bbc-e6a4-4210-aa29-90156171e746","Jan 31, 2025","x86_64","VM,SCA,PM","Cloud Agent","1","174","421d682c-2b6e-05ce-135c-41ac6a94cade","Jan 31, 2025","Cloud Agent,GRU-GERAL,GRU-CAT-Servidores"
"105340447","SHOMRMAGRU01","27089989","'-","00:50:56:8a:d4:0b,00:50:56:8a:d4:0b","10.36.52.18","fe80:0:0:0:250:56ff:fe8a:d40b","Linux / Unidentified","Canonical Ubuntu Jammy Jellyfish 22.04 LTS 22.04.5 LTS","22.04 LTS","GA","Virtualized / Virtual Machine","VMware VMware Virtual Platform VMware Virtual Platform","Unknown","4","2100","Intel(R) Xeon(R) CPU E5-2620 v2 @ 2.10GHz","7901","Phoenix Technologies LTD 6.00 09/19/2018","VMware-42 0a 2f 8e a1 25 f8 33-8e cd a6 e6 8b ba 82 bb","No Asset Tag","'-03:00","Jul 31, 2024","root","QAGENT","5e7f6cba-a327-4801-aa9e-e565a988ad05","Jan 31, 2025","x86_64","VM,SCA,PM","Cloud Agent","1","124","8e2f0a42-25a1-33f8-8ecd-a6e68bba82bb","Jan 31, 2025","Cloud Agent,GRU-GERAL,GRU-CAT-Servidores"
"112853995","spbdoragru11.gru.local","29078941","'-","54:9f:35:71:da:ac,54:9f:35:71:da:ac,54:9f:35:71:d9:2e,54:9f:35:71:d9:2e,54:9f:35:71:d9:2e,54:9f:35:71:d9:2e,54:9f:35:71:da:ac","10.1.1.58,169.254.223.104,172.31.49.163,172.31.49.190,172.31.49.191","fe80:0:0:0:569f:35ff:fe71:d92e,fe80:0:0:0:569f:35ff:fe71:daac","Linux / Server","Red Hat Enterprise Linux Server 6 6.6","6.6","EOL/EOS","Computers / Server","Dell PowerEdge M620","EOS","40","2200","Intel(R) Xeon(R) CPU E5-2660 v2 @ 2.20GHz","258302","Dell Inc. 2.4.3 07/02/2014","HM27012","'-","'-03:00","Sep 1, 2024","root","QAGENT","27204092-1690-4ae1-a2b3-9c5c20794307","Jan 31, 2025","x86_64","VM,SCA,PM","Cloud Agent","4","703","44454c4c-4d00-1032-8037-c8c04f303132","Jan 31, 2025","Cloud Agent,GRU_ACN_4-Perigoso,GRU-GERAL,GRU_CAT_ACN-SAP"
"109170828","SPRDAPAUDGRU01.gru.local","28063260","SPRDAPAUDGRU01","00:50:56:A3:6F:36","172.31.57.69","","Windows / Server","Microsoft Windows Server 2019 Datacenter 1809 Build 17763.6293 64-Bit","1809","EOL","Virtualized / Virtual Machine","VMware VMware Virtual Platform VMware Virtual Platform","Unknown","8","2594","Intel(R) Xeon(R) Gold 6348 CPU @ 2.60GHz","20479","Phoenix Technologies LTD 6.00","VMware-42 23 1e 3c d8 9f 8c 7d-b5 49 3f db 4d e2 cb a2","NoAssetTag","'-03:00","Jan 17, 2025","alpha","QAGENT","621d7ba9-09cf-4584-99ea-a5a0143a7c6f","Jan 31, 2025","64-bit","VM,SCA,PM","Cloud Agent","1","172","3C1E2342-9FD8-7D8C-B549-3FDB4DE2CBA2","Jan 31, 2025","Cloud Agent,GRU-GERAL,GRU-CAT-Servidores"
"96989672","SPRDAPCUPSGRU03","24900872","'-","00:50:56:a3:5a:db","172.31.49.208","","Linux / Server","Red Hat Enterprise Linux 9 9.5","9.5","GA","Virtualized / Virtual Machine","VMware VMware Virtual Platform VMware Virtual Platform","Unknown","4","2600","Intel(R) Xeon(R) Gold 6348 CPU @ 2.60GHz","5635","VMware, Inc. VMW201.00V.20829224.B64.2211211842 11/21/2022","VMware-42 23 b3 55 a2 22 50 fc-6d 17 07 a2 56 63 a6 f4","No Asset Tag","'-03:00","Dec 25, 2024","sysgru","QAGENT","2f5380fa-6e49-48c6-8741-8ee016e20073","Jan 31, 2025","x86_64","VM,SCA,PM","Cloud Agent","5","34","55b32342-22a2-fc50-6d17-07a25663a6f4","Jan 31, 2025","Cloud Agent,GRU_ACN_5-Catastrofico,GRU-GERAL,GRU_CAT_ACN-CMS"
"114356548","SPRDAPOCSGRU01","29394703","'-","00:50:56:9d:1a:13,00:50:56:9d:1a:13","172.16.253.89","fe80:0:0:0:250:56ff:fe9d:1a13","Linux / Server","Debian Project Debian Buster 10.13","10.13","EOL/EOS","Virtualized / Virtual Machine","VMware VMware Virtual Platform VMware Virtual Platform","Unknown","4","2400","Intel(R) Xeon(R) CPU E5-4640 0 @ 2.40GHz","7978","Phoenix Technologies LTD 6.00 12/12/2018","VMware-42 1d 42 cd c3 6d 55 4f-90 63 2f 10 9a ad c3 8a","No Asset Tag","'-03:00","Nov 13, 2024","sysgru","QAGENT","0c0abaf4-80a6-4299-82de-332bd46f9992","Jan 31, 2025","x86_64","VM,SCA,PM","Cloud Agent","1","71","cd421d42-6dc3-4f55-9063-2f109aadc38a","Jan 31, 2025","Cloud Agent,GRU-GERAL,GRU-CAT-Servidores"
"20891478","sprdbdoragru04.gru.local","7478080","'-","b8:ca:3a:33:8e:a8,b8:ca:3a:33:8e:a8,b8:ca:3a:33:8e:a8,b8:ca:3a:33:8e:a8,b8:ca:3a:33:8e:a8,b8:ca:3a:33:8e:a8","10.1.1.17,169.254.249.133,172.31.49.91,172.31.49.141,172.31.49.145","fe80:0:0:0:baca:3aff:fe33:8ea8","Linux / Server","Red Hat Enterprise Linux Server 6 6.10","6.10","EOL/EOS","Computers / Server","Dell PowerEdge M820","EOS","32","2400","Intel(R) Xeon(R) CPU E5-4640 0 @ 2.40GHz","258423","Dell Inc. 2.2.2 07/02/2014","JHSR9X1","'-","'-03:00","Dec 6, 2024","root","QAGENT","b5e5b4ac-2f9e-4336-b1cf-95477d2c27f4","Jan 31, 2025","x86_64","VM,SCA,PM","Cloud Agent","5","858","44454c4c-4800-1053-8052-cac04f395831","Jan 31, 2025","Cloud Agent,GRU_ACN_5-Catastrofico,GRU-GERAL,GRU_CAT_ACN-CMS"
"20890762","SPRDAPCCPRGRU02","7477756","'-","00:50:56:92:3e:7f,52:54:00:9c:ff:62,00:50:56:92:3e:7f","172.31.49.139,192.168.122.1","fe80:0:0:0:250:56ff:fe92:3e7f","Linux / Server","Red Hat Enterprise Linux 8 8.8","8.8","EOL","Virtualized / Virtual Machine","VMware VMware Virtual Platform VMware Virtual Platform","Unknown","2","2600","Intel(R) Xeon(R) Gold 6348 CPU @ 2.60GHz","3634","Phoenix Technologies LTD 6.00 11/12/2020","VMware-42 12 8b b6 e3 6a 87 49-14 d7 d0 10 b3 c9 8a ca","No Asset Tag","'-03:00","Aug 9, 2024","root","QAGENT","f10fd344-5d8e-4a00-a536-1da519704e40","Jan 31, 2025","x86_64","VM,SCA,PM","Cloud Agent","5","848","b68b1242-6ae3-4987-14d7-d010b3c98aca","Jan 31, 2025","Cloud Agent,GRU_ACN_5-Catastrofico,GRU-GERAL,GRU_CAT_ACN-TARIFAGRU"
"118300643","sprdapzbpxgru02","32350692","'-","00:50:56:b6:8e:0a,00:50:56:b6:4a:e2","172.16.1.99,172.16.253.91","","Linux / Unidentified","Canonical Ubuntu Focal Fossa 20.04 LTS 20.04.6 LTS","20.04 LTS","GA","Virtualized / Virtual Machine","VMware VMware Virtual Platform VMware Virtual Platform","Unknown","2","2400","Intel(R) Xeon(R) CPU E5-4640 0 @ 2.40GHz","3889","Phoenix Technologies LTD 6.00 12/12/2018","VMware-42 36 b4 8e b6 59 b1 dc-9c d7 e4 c9 80 d6 96 6b","No Asset Tag","'-03:00","Aug 23, 2023","sysgru","QAGENT","faf60259-a9dd-475f-a140-ebdd2171d3fe","Jan 31, 2025","x86_64","VM,SCA,PM","Cloud Agent","1","121","8eb43642-59b6-dcb1-9cd7-e4c980d6966b","Jan 31, 2025","Cloud Agent,GRU-GERAL,GRU-CAT-Servidores"
