"Top 500 values of host.hostname","Unique count of host.hostname"
SHOMAPBISCCGRU01,1
SHOMAPCMSGRU01,1
SHOMAPCMSGRU02,1
"SHOMAPCMSGRU02.gru.local",1
SHOMAPCMSGRU03,1
SHOMAPCMSGRU11,1
SHOMAPLOGSGRU11,1
SHOMAPMOOGRU01,1
SHOMAPRMAGRU02,1
SHOMBDMOOGRU01,1
SHOMBDOTRSGRU01,1
"SHOMBDOTRSGRU01.GRU.LOCAL",1
SHOMRMAGRU01,1
SHOMRMAGRU02,1
SHOMRMAGRU03,1
SHOMRMAGRU04,1
SHOMRMAGRU05,1
SHOMTESTGRU03,1
SHOMWBCMSGRU01,1
SPRDAPCCPRGRU01,1
SPRDAPCCPRGRU02,1
SPRDAPCMSGRU04,1
SPRDAPCMSGRU05,1
SPRDAPCMSGRU07,1
SPRDAPCMSGRU08,1
SPRDAPCUPSGRU03,1
SPRDAPCUPSGRU04,1
SPRDAPGLPIGRU01,1
SPRDAPGLPIGRU02,1
SPRDAPIHSGRU01,1
SPRDAPIHSGRU02,1
SPRDAPLOGSGRU01,1
SPRDAPNFSGRU01,1
SPRDAPOCSGRU01,1
SPRDAPPOSTGRU01,1
SPRDAPRMAGRU04,1
"SPRDAPRMAGRU04.GRU.LOCAL",1
SPRDAPRPGRU12,1
SPRDAPRPGRU13,1
SPRDAPRPGRU15,1
SPRDAPSSAGRU01,1
SPRDAPSSHGRU01,1
SPRDAPVPRGRU01,1
SPRDAPVPRGRU02,1
SPRDAPVPRGRU03,1
SPRDAPVPRGRU04,1
SPRDAPVPRGRU05,1
SPRDAPVPRGRU06,1
SPRDBDOTRSGRU01,1
"SPRDBDOTRSGRU01.GRU.LOCAL",1
SPRDMYSQLGRU02,1
SPRDMYSQLGRU03,1
SPRDNTDGRU03,1
SPRDVCCHOGRU01,1
SUATBDORAGRU01,1
shomapcmsgru03,1
shomapcmsgru11,1
shomapgrfgru01,1
shomapihsgru01,1
"shomapihsgru01.gru.local",1
shomapotrsgru01,1
shomapprmgru01,1
shombdmoogru01,1
shomdbdotrsgru02,1
shomwbcmsgru01,1
spbdoragru09,1
"spbdoragru09.gru.local",1
spbdoragru11,1
"spbdoragru11.gru.local",1
sprdapbigru01,1
sprdapcmsgru02,1
sprdapcmsgru06,1
sprdapcupsgru03,1
sprdapcupsgru04,1
sprdapecgru01,1
sprdapecgru02,1
sprdapecgru03,1
sprdapecgru04,1
sprdapecgru05,1
sprdapecgru06,1
sprdapgrfgru01,1
sprdapihsgru01,1
sprdapihsgru02,1
"sprdaplogsgru01.gru.local",1
sprdapnbkgru01,1
"sprdapnbkgru01.gru.local",1
sprdapnfsgru01,1
sprdapnmcgru01,1
sprdapntwsgru01,1
sprdapocsgru01,1
sprdappigru01,1
sprdappigru02,1
"sprdappigru02.gru.local",1
sprdappostgru01,1
sprdapprmgru01,1
sprdaprpgru09,1
sprdaprpgru10,1
sprdaprpgru15,1
sprdapsmgru01,1
sprdapsmgru02,1
sprdapssagru01,1
sprdapsshgru01,1
sprdapvprgru01,1
sprdapvprgru02,1
sprdapvprgru03,1
sprdapvprgru04,1
sprdapvprgru05,1
"sprdapvprgru06.gru.local",1
sprdapzbpxgru01,1
sprdbdoragru04,1
"sprdbdoragru04.gru.local",1
sprdbdoragru05,1
"sprdbdoragru05.gru.local",1
sprdbdotrsgru02,1
sprdbdzabgru02,1
sprdmysqlgru02,1
sprdmysqlgru03,1
sprdntdgru03,1
sprdotrsgru01,1
sprdsapnasgru01,1
sprdsiem01,1
sprdsiem02,1
sprdvcchogru01,1
sprdzbgru01,1
sprdzbgru02,1
sprdzbgru03,1
sprdzbgru04,1
sprdzbgru05,1
