"Asset Datalist Report","30 Nov 2025 11:03PM GMT-0300","658"
"Delfia","Alameda Tocantins, 350","Barueri","None","06455-020","Brazil"
"Evandro Santiago","defa6es","CSAM customers,All Roles Customers,CSAM customers,All Roles Customers"
"Asset Name","Netbios Name","Mac Address","IPV4 Addresses","IPV6 Addresses","Operating System Category","OS","Operating System Version","Operating System Lifecycle Stage"
"SPRDAPIHSGRU03","'-","00:50:56:a3:79:bb,00:50:56:a3:79:bb","192.168.0.55","fe80:0:0:0:250:56ff:fea3:79bb","Linux / Server","Red Hat Enterprise Linux 9 9.7","9.7","GA"
"SPRDCFTVGRU205","SPRDCFTVGRU205","00:E0:ED:DA:AD:91,00:E0:ED:DA:AD:93,00:E0:ED:DA:AD:94,00:E0:ED:DA:AD:91,E8:65:5F:FF:96:0E","10.36.60.205,10.36.61.205,172.31.57.205,172.31.62.205","fe80:0:0:0:38d3:af7:4700:fdd4","Windows / Server","Microsoft Windows Server 2022 Standard 21H2 Build 20348.4171 64-Bit","21H2","GA"
"SPRDAPPOSTGRU01","'-","00:50:56:92:69:76,00:50:56:92:69:76","172.31.49.13","fe80:0:0:0:250:56ff:fe92:6976","Linux / Server","Red Hat Enterprise Linux 8 8.10","8.10","GA"
"SPRDBDHSQLGRU10.gru.local","SPRDBDHSQLGRU10","00:50:56:A3:7B:42,02:09:5A:0A:55:08,00:50:56:A3:A2:E8,00:50:56:A3:70:53,02:09:5A:0A:55:08,00:50:56:A3:A2:E8","1.1.1.162,169.254.1.81,172.31.49.103,172.31.62.103","fe80:0:0:0:59eb:cfa6:1fcc:7a39,fe80:0:0:0:cb55:3f35:fea5:7b36","Windows / Server","Microsoft Windows Server 2022 Datacenter 21H2 Build 20348.4171 64-Bit","21H2","GA"
"SPRDAPCMSNGX02","'-","00:50:56:a3:9c:8d,00:50:56:a3:9c:8d","172.31.62.160","fe80:0:0:0:250:56ff:fea3:9c8d","Linux / Server","Red Hat Enterprise Linux 9 9.7","9.7","GA"
"SPRDAPVMSGRU01.gru.local","SPRDAPVMSGRU01","00:50:56:A3:24:AB","172.31.57.199","","Windows / Server","Microsoft Windows Server 2022 Datacenter 21H2 Build 20348.4171 64-Bit","21H2","GA"
"SPRDCFTVGRU210","SPRDCFTVGRU210","68:05:CA:32:65:6D,68:05:CA:32:65:6C,68:05:CA:32:65:6F,E8:65:5F:FF:92:1E,68:05:CA:32:65:6F","10.36.60.210,10.36.61.210,172.31.57.210,172.31.62.210","fe80:0:0:0:f341:3c37:4553:b137","Windows / Server","Microsoft Windows Server 2022 Standard 21H2 Build 20348.4171 64-Bit","21H2","GA"
"SPRDAPITSMGRU01","'-","00:50:56:a3:06:66,00:50:56:a3:06:66","172.31.49.49","fe80:0:0:0:250:56ff:fea3:666","Linux / Unidentified","Canonical Ubuntu Noble Numbat 24.04 LTS 24.04.3 LTS","24.04 LTS","GA"
"SPRDAPVPXGRU02.gru.local","SPRDAPVPXGRU02","00:50:56:9D:7A:65,02:FE:0A:02:12:8E,00:50:56:9D:ED:D8,00:50:56:9D:ED:D8,02:FE:0A:02:12:8E","12.12.12.2,169.254.1.232,172.31.50.158,172.31.50.242","fe80:0:0:0:7545:6989:2f8e:f678","Windows / Server","Microsoft Windows Server 2012 R2 Standard 6.3 Build 9600.19941 64-Bit","6.3","EOL/EOS"
"SPRDNTDGRU03","SPRDNTDGRU03","00:50:56:9d:49:25,ee:67:b6:f3:b8:da,00:50:56:9d:49:25,ee:67:b6:f3:b8:da","172.16.253.92","fe80:0:0:0:0:0:0:1,fe80:0:0:0:250:56ff:fe9d:4925,fe80:0:0:0:ec67:b6ff:fef3:b8da","Linux / Unidentified","Canonical Ubuntu Xenial Xerus 16.04 LTS 16.04.7 LTS","16.04 LTS","EOL/EOS"
