"Top 500 values of host.hostname","Unique count of host.hostname"
PRDRMADS02,1
SHOMAPBISCCGRU01,1
SHOMAPCFTVGRU01,1
SHOMAPCMSGRU03,1
SHOMAPCUPSGRU01,1
SHOMAPGPROGRU01,1
SHOMAPIHSGRU02,1
SHOMAPITSMGRU01,1
SHOMAPMOOGRU01,1
SHOMAPPOSTGRU01,1
SHOMAPREPGRU01,1
SHOMBDITSMGRU01,1
SHOMBDMOOGRU01,1
SHOMCYBERGRU01,1
SHOMWBCMSGRU01,1
SPRDAPCCPRGRU01,1
SPRDAPCCPRGRU02,1
SPRDAPCMSGRU07,1
SPRDAPCMSGRU08,1
SPRDAPCMSM01,1
SPRDAPCMSNGX01,1
SPRDAPCMSNGX02,1
SPRDAPCMSP01,1
SPRDAPCMSP02,1
SPRDAPCMSP03,1
SPRDAPCMSW01,1
SPRDAPCMSW02,1
SPRDAPCUPSGRU03,1
SPRDAPCUPSGRU04,1
SPRDAPDIPGRU01,1
SPRDAPECGRU07,1
SPRDAPGLPIGRU01,1
SPRDAPGLPIGRU02,1
SPRDAPIAMGRU01,1
SPRDAPIAMGRU02,1
SPRDAPIAMGRU03,1
SPRDAPIAMGRU04,1
SPRDAPIHSGRU01,1
SPRDAPIHSGRU02,1
SPRDAPIHSGRU03,1
SPRDAPIPAMGRU01,1
SPRDAPITSMGRU01,1
"SPRDAPLOGSGRU01.GRU.LOCAL",1
SPRDAPNBUGRU02,1
SPRDAPNFSGRU01,1
SPRDAPNMCGRU01,1
SPRDAPNTWSGRU01,1
SPRDAPOCSGRU01,1
SPRDAPPOSTGRU01,1
SPRDAPRPGRU12,1
SPRDAPRPGRU13,1
SPRDAPRPGRU14,1
SPRDAPRPGRU15,1
SPRDAPSPGGRU01,1
SPRDAPSQBGRU01,1
SPRDAPSSAGRU01,1
SPRDAPVPRGRU02,1
SPRDAPVPRGRU03,1
"SPRDAPVPRGRU03.GRU.LOCAL",1
SPRDAPVPRGRU04,1
SPRDAPVPRGRU05,1
SPRDAPVPRGRU06,1
SPRDBDITSMGRU01,1
SPRDBDORAGRU13,1
SPRDBDSPGGRU01,1
SPRDMONGRU01,1
SPRDMYSQLGRU02,1
SPRDMYSQLGRU03,1
SPRDNTDGRU03,1
SPRDSIEM01,1
SPRDSIEM02,1
SPRDVCCHOGRU01,1
SPRDZBGRU01,1
SPRDZBGRU02,1
SPRDZBGRU03,1
SPRDZBGRU04,1
SPRDZBGRU05,1
localhost,1
shomapgrfgru02,1
shomapihsgru01,1
"shomapihsgru01.gru.local",1
shomapprmgru01,1
sprdapgfngru02,1
sprdapmisp01,1
sprdapnbugru01,1
"sprdapnbugru01.gru.local",1
sprdapnmcgru01,1
sprdapntwsgru01,1
sprdapprmgru01,1
sprdaprpgru09,1
sprdaprpgru10,1
sprdapssagru01,1
sprdapsshgru01,1
"sprdapsshgru01.gru.local",1
sprdbdoragru12,1
sprdzbgru01,1
sprdzbgru02,1
sprdzbgru03,1
sprdzbgru04,1
sprdzbgru05,1
