"Endpoint Name","Site","Last Logged In User","OS Username","Group","Tags","Domain","Account","Console Visible IP","Agent Version","Serial Number","Subscribed On","Device Type","Model Name","OS","OS Version","Architecture","Memory","CPU Count","CPU Type","Core Count","Management Connectivity","Network Status","Update Status","Scan Status","Last Reported IP","Pending Uninstall","Disk Encryption","Agent UUID","Agent ID","Customer Identifier","Console Migration Status","Operational State","Operational State Expiration","Last Reboot Date","Installer Type","Reboot Required due to Threat","User Action Required","Remote Profiling State","Remote Profiling Expiration","Storage Type","Storage Name","Cloud Account","Cloud Location","Cloud Network","Cloud Image","Cloud Tags","Cloud Instance Size","Cloud Instance ID","Cloud Security Group","Cluster Name","K8s Type","K8s Version","Agent Namespace","Agent Pod Name","K8s Node Name","K8s Node Labels","ECS Type","ECS Version","ECS Cluster Name","ECS Task Arn","ECS Task Availability Zone","ECS Service Name","ECS Service Arn","ECS Task Definition Family","ECS Task Definition Revision","ECS Task Definition Arn","Is Uninstalled","Decommissioned at","Missing Permissions"
"SHOMAPCFTVGRU01","Default site","N/A","root","Default Group","None","gru.local","GRUPO INVEPAR","177.130.117.155","23.4.2.14","N/A","Nov 11, 2025 02:00:06 AM","server","VMware, Inc. VMware Virtual Platform","Linux","Linux,Debian GNU/12 (bookworm) 6.1.0-40-amd64","64 bit","8 GB",8,"Intel(R) Xeon(R) CPU E5-4620 v2 @ 2.60GHz",8,"Online","Connected","Up to date","Aborted( Nov 11, 2025 02:05:53 AM )","172.31.57.70","No","Off","7632e133-4b65-64a1-2a49-a88917ac917a",2345434719348656788,"N/A","N/A","Not disabled","N/A","Nov 11, 2025 01:13:47 PM","DEB","No","No","disabled","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","No","N/A","N/A"
"SPRDAPIAMGRU02","Default site","N/A","root","Default Group","None","unknown","GRUPO INVEPAR","177.130.117.155","24.1.1.16","N/A","Nov 07, 2025 06:23:45 PM","server","VMware, Inc. VMware20,1","Linux","Linux,Red Hat Enterprise release 9.6 (Plow) 5.14.0-570.62.1.el9_6.x86_64","64 bit","15 GB",4,"Intel(R) Xeon(R) Gold 6348 CPU @ 2.60GHz",8,"Online","Connected","Up to date","Completed( Nov 07, 2025 06:39:41 PM )","172.31.50.104","No","Off","7597b979-fc80-fefd-ec29-e7f1f623d605",2343030699022678133,"N/A","N/A","Not disabled","N/A","Nov 10, 2025 04:20:01 PM","RPM","No","No","disabled","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","No","N/A","N/A"
"SPRDAPIAMGRU04","Default site","N/A","root","Default Group","None","unknown","GRUPO INVEPAR","177.130.117.155","24.1.1.16","N/A","Nov 07, 2025 06:23:16 PM","server","VMware, Inc. VMware20,1","Linux","Linux,Red Hat Enterprise release 9.6 (Plow) 5.14.0-570.62.1.el9_6.x86_64","64 bit","15 GB",4,"Intel(R) Xeon(R) Gold 6348 CPU @ 2.60GHz",8,"Online","Connected","Up to date","Completed( Nov 07, 2025 06:39:52 PM )","172.31.50.106","No","Off","75912935-71a8-ad4e-ccec-4e2223c05703",2343030463285914743,"N/A","N/A","Not disabled","N/A","Nov 10, 2025 04:22:54 PM","RPM","No","No","disabled","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","No","N/A","N/A"
"SPRDAPIAMGRU03","Default site","N/A","root","Default Group","None","unknown","GRUPO INVEPAR","200.174.72.155","24.1.1.16","N/A","Nov 07, 2025 06:23:06 PM","server","VMware, Inc. VMware20,1","Linux","Linux,Red Hat Enterprise release 9.6 (Plow) 5.14.0-570.62.1.el9_6.x86_64","64 bit","15 GB",4,"Intel(R) Xeon(R) Gold 6348 CPU @ 2.60GHz",8,"Online","Connected","Up to date","Completed( Nov 07, 2025 06:39:49 PM )","172.31.50.105","No","Off","758ed042-0a86-2f61-08d6-e7a45b7c20a1",2343030378711926174,"N/A","N/A","Not disabled","N/A","Nov 10, 2025 04:21:30 PM","RPM","No","No","disabled","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","No","N/A","N/A"
"SPRDAPIAMGRU01","Default site","N/A","root","Default Group","None","unknown","GRUPO INVEPAR","200.174.72.155","24.1.1.16","N/A","Nov 07, 2025 06:22:46 PM","server","VMware, Inc. VMware20,1","Linux","Linux,Red Hat Enterprise release 9.6 (Plow) 5.14.0-570.62.1.el9_6.x86_64","64 bit","15 GB",4,"Intel(R) Xeon(R) Gold 6348 CPU @ 2.60GHz",8,"Online","Connected","Up to date","Completed( Nov 07, 2025 06:36:58 PM )","172.31.50.103","No","Off","758a1b85-1111-9a46-9107-bcaa36751cf2",2343030208448263865,"N/A","N/A","Not disabled","N/A","Nov 10, 2025 04:16:42 PM","RPM","No","No","disabled","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","No","N/A","N/A"
"sprdapnbugru01.gru.local","Default site","N/A","root","Default Group","None","unknown","GRUPO INVEPAR","177.130.117.155","24.1.1.16","N/A","Nov 04, 2025 04:05:52 PM","server","VMware, Inc. VMware20,1","Linux","Linux,Red Hat Enterprise release 9.7 (Plow) 5.14.0-611.7.1.el9_7.x86_64","64 bit","62 GB",16,"Intel(R) Xeon(R) Gold 6348 CPU @ 2.60GHz",32,"Online","Connected","Up to date","Completed( Nov 04, 2025 04:18:22 PM )","172.31.62.160","No","Off","7453ab65-0ac0-877d-bf02-ce0227f98e29",2340786975237316439,"N/A","N/A","Not disabled","N/A","Nov 17, 2025 07:48:36 PM","RPM","No","No","disabled","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","No","N/A","N/A"
"SPRDAPIAMGRU02","Default site","N/A","root","Default Group","None","unknown","GRUPO INVEPAR","177.130.117.155","24.1.1.16","N/A","Nov 04, 2025 02:00:18 PM","server","VMware, Inc. VMware20,1","Linux","Linux,Red Hat Enterprise release 9.6 (Plow) 5.14.0-570.60.1.el9_6.x86_64","64 bit","15 GB",4,"Intel(R) Xeon(R) Gold 6348 CPU @ 2.60GHz",8,"Offline","Connected","Up to date","Completed( Nov 04, 2025 02:14:30 PM )","172.31.50.104","No","Off","7479aaec-7258-d187-8d7e-514d3b887bdb",2340723778247403069,"N/A","N/A","Not disabled","N/A","Nov 07, 2025 06:04:23 PM","RPM","No","No","disabled","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","No","N/A","N/A"
"SHOMCYBERGRU01","Default site","N/A","root","Default Group","None","unknown","GRUPO INVEPAR","177.130.117.155","24.1.1.16","N/A","Oct 31, 2025 04:12:26 PM","server","VMware, Inc. VMware7,1","Linux","Linux,Red Hat Enterprise release 9.6 (Plow) 5.14.0-570.60.1.el9_6.x86_64","64 bit","7 GB",4,"Intel(R) Xeon(R) CPU E5-4640 0 @ 2.40GHz",4,"Online","Connected","Up to date","Aborted( Nov 04, 2025 08:11:15 PM )","172.31.52.70","No","Off","ffd19249-fae8-4a30-34e3-b30cac120a7f",2337891178220413158,"N/A","N/A","Not disabled","N/A","Nov 04, 2025 09:08:04 PM","RPM","No","No","disabled","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","No","N/A","N/A"
"SPRDAPCMSNGX02","Default site","N/A","root","Default Group","None","unknown","GRUPO INVEPAR","177.130.117.155","24.1.1.16","N/A","Oct 29, 2025 05:53:12 PM","server","VMware, Inc. VMware20,1","Linux","Linux,Red Hat Enterprise release 9.6 (Plow) 5.14.0-570.58.1.el9_6.x86_64","64 bit","15 GB",4,"Intel(R) Xeon(R) Gold 6348 CPU @ 2.60GHz",8,"Online","Connected","Up to date","Completed( Oct 29, 2025 06:11:57 PM )","192.168.0.52","No","Off","73b3dcbd-058d-eaf3-32ca-341b9fcf81ae",2336492347408310242,"N/A","N/A","Not disabled","N/A","Oct 29, 2025 06:29:17 PM","RPM","No","No","disabled","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","No","N/A","N/A"
"SPRDAPCMSNGX01","Default site","N/A","root","Default Group","None","unknown","GRUPO INVEPAR","177.130.117.155","24.1.1.16","N/A","Oct 29, 2025 05:51:08 PM","server","VMware, Inc. VMware20,1","Linux","Linux,Red Hat Enterprise release 9.6 (Plow) 5.14.0-570.58.1.el9_6.x86_64","64 bit","15 GB",4,"Intel(R) Xeon(R) Gold 6348 CPU @ 2.60GHz",8,"Online","Connected","Up to date","Completed( Oct 29, 2025 06:09:25 PM )","192.168.0.51","No","Off","7396d53a-68e8-1c8d-6496-b733f0f411b6",2336491306239070293,"N/A","N/A","Not disabled","N/A","Oct 29, 2025 06:29:09 PM","RPM","No","No","disabled","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","No","N/A","N/A"
